x_mm,y_mm,z_mm
8.000000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
6.800000000000000000e+01,8.500000000000000000e+01,2.680000000000000000e+02
7.400000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,8.000000000000000000e+01,4.060000000000000000e+02
7.000000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.400000000000000000e+01,4.040000000000000000e+02
7.700000000000000000e+01,8.300000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,8.800000000000000000e+01,2.550000000000000000e+02
8.000000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.600000000000000000e+01,4.070000000000000000e+02
8.200000000000000000e+01,7.400000000000000000e+01,4.060000000000000000e+02
7.200000000000000000e+01,8.700000000000000000e+01,2.540000000000000000e+02
8.700000000000000000e+01,1.500000000000000000e+02,4.380000000000000000e+02
7.100000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.700000000000000000e+01,2.500000000000000000e+02
7.800000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.500000000000000000e+01,4.060000000000000000e+02
7.900000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.900000000000000000e+01,4.050000000000000000e+02
7.700000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,8.100000000000000000e+01,4.050000000000000000e+02
8.100000000000000000e+01,7.200000000000000000e+01,4.060000000000000000e+02
7.400000000000000000e+01,6.500000000000000000e+01,2.530000000000000000e+02
7.500000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.900000000000000000e+01,4.060000000000000000e+02
7.900000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.400000000000000000e+01,4.050000000000000000e+02
8.000000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
3.500000000000000000e+01,1.300000000000000000e+01,4.380000000000000000e+02
7.700000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.600000000000000000e+01,8.200000000000000000e+01
7.300000000000000000e+01,8.700000000000000000e+01,2.510000000000000000e+02
7.300000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.050000000000000000e+02
8.100000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,8.000000000000000000e+01,4.040000000000000000e+02
7.300000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.000000000000000000e+01,4.050000000000000000e+02
7.100000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.800000000000000000e+01,4.050000000000000000e+02
7.800000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,8.200000000000000000e+01,4.040000000000000000e+02
7.100000000000000000e+01,7.900000000000000000e+01,4.060000000000000000e+02
7.300000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.600000000000000000e+01,4.060000000000000000e+02
7.600000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.300000000000000000e+01,6.700000000000000000e+01,2.500000000000000000e+02
8.200000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.900000000000000000e+01,4.050000000000000000e+02
8.200000000000000000e+01,7.400000000000000000e+01,4.070000000000000000e+02
7.500000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.200000000000000000e+01,4.040000000000000000e+02
6.900000000000000000e+01,8.600000000000000000e+01,2.600000000000000000e+02
7.500000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.300000000000000000e+01,4.050000000000000000e+02
7.800000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,8.700000000000000000e+01,2.350000000000000000e+02
7.200000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.300000000000000000e+01,4.050000000000000000e+02
8.100000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
1.190000000000000000e+02,7.300000000000000000e+01,8.200000000000000000e+01
8.000000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.900000000000000000e+01,4.060000000000000000e+02
7.900000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.100000000000000000e+01,4.040000000000000000e+02
7.900000000000000000e+01,8.100000000000000000e+01,4.070000000000000000e+02
7.700000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.400000000000000000e+01,4.080000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
8.300000000000000000e+01,7.700000000000000000e+01,4.050000000000000000e+02
7.400000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,8.200000000000000000e+01,4.050000000000000000e+02
7.300000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,8.000000000000000000e+01,4.060000000000000000e+02
8.200000000000000000e+01,7.800000000000000000e+01,4.050000000000000000e+02
8.000000000000000000e+01,8.100000000000000000e+01,4.040000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
8.400000000000000000e+01,6.800000000000000000e+01,2.550000000000000000e+02
7.200000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,6.500000000000000000e+01,2.500000000000000000e+02
7.800000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.040000000000000000e+02
7.700000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.900000000000000000e+01,4.050000000000000000e+02
8.100000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.800000000000000000e+01,4.070000000000000000e+02
7.300000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.000000000000000000e+01,4.050000000000000000e+02
7.300000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
3.000000000000000000e+00,9.200000000000000000e+01,4.370000000000000000e+02
7.200000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.100000000000000000e+01,4.080000000000000000e+02
7.200000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,6.500000000000000000e+01,2.540000000000000000e+02
8.200000000000000000e+01,7.900000000000000000e+01,4.060000000000000000e+02
7.100000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,4.600000000000000000e+01,4.830000000000000000e+02
8.200000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
1.210000000000000000e+02,1.700000000000000000e+01,4.530000000000000000e+02
8.200000000000000000e+01,7.800000000000000000e+01,4.070000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.040000000000000000e+02
7.800000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.500000000000000000e+01,4.070000000000000000e+02
7.500000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.500000000000000000e+01,4.060000000000000000e+02
7.400000000000000000e+01,8.200000000000000000e+01,4.040000000000000000e+02
8.000000000000000000e+01,8.700000000000000000e+01,2.500000000000000000e+02
7.000000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.000000000000000000e+01,4.050000000000000000e+02
8.100000000000000000e+01,7.200000000000000000e+01,4.080000000000000000e+02
