x_mm,y_mm,z_mm
9.100000000000000000e+01,6.600000000000000000e+01,8.900000000000000000e+01
7.900000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
9.500000000000000000e+01,8.300000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,7.500000000000000000e+01,6.800000000000000000e+01
1.190000000000000000e+02,7.600000000000000000e+01,7.100000000000000000e+01
1.190000000000000000e+02,8.300000000000000000e+01,7.000000000000000000e+01
1.340000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+01
9.200000000000000000e+01,7.200000000000000000e+01,8.900000000000000000e+01
9.800000000000000000e+01,8.800000000000000000e+01,8.500000000000000000e+01
9.200000000000000000e+01,7.600000000000000000e+01,8.900000000000000000e+01
1.340000000000000000e+02,8.000000000000000000e+01,8.200000000000000000e+01
1.020000000000000000e+02,8.400000000000000000e+01,8.300000000000000000e+01
8.000000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
1.190000000000000000e+02,7.100000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,7.700000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,8.100000000000000000e+01,6.800000000000000000e+01
7.900000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.100000000000000000e+01,4.070000000000000000e+02
1.340000000000000000e+02,8.200000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,7.100000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,8.200000000000000000e+01,6.900000000000000000e+01
7.900000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
9.200000000000000000e+01,6.800000000000000000e+01,8.900000000000000000e+01
7.800000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
9.100000000000000000e+01,9.200000000000000000e+01,8.900000000000000000e+01
1.340000000000000000e+02,7.600000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,7.600000000000000000e+01,6.600000000000000000e+01
1.340000000000000000e+02,7.200000000000000000e+01,6.600000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,6.700000000000000000e+01
1.190000000000000000e+02,8.200000000000000000e+01,7.000000000000000000e+01
1.340000000000000000e+02,8.200000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,7.400000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,8.600000000000000000e+01,7.000000000000000000e+01
1.340000000000000000e+02,7.600000000000000000e+01,8.600000000000000000e+01
8.100000000000000000e+01,8.800000000000000000e+01,2.350000000000000000e+02
9.100000000000000000e+01,8.200000000000000000e+01,8.900000000000000000e+01
1.190000000000000000e+02,7.300000000000000000e+01,8.100000000000000000e+01
1.190000000000000000e+02,8.600000000000000000e+01,7.100000000000000000e+01
1.340000000000000000e+02,6.800000000000000000e+01,8.300000000000000000e+01
1.340000000000000000e+02,8.100000000000000000e+01,8.300000000000000000e+01
9.700000000000000000e+01,7.500000000000000000e+01,8.500000000000000000e+01
9.100000000000000000e+01,6.600000000000000000e+01,8.900000000000000000e+01
1.190000000000000000e+02,7.200000000000000000e+01,7.000000000000000000e+01
1.190000000000000000e+02,7.900000000000000000e+01,8.100000000000000000e+01
1.340000000000000000e+02,7.000000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,8.600000000000000000e+01,8.400000000000000000e+01
1.340000000000000000e+02,8.200000000000000000e+01,6.800000000000000000e+01
1.340000000000000000e+02,7.000000000000000000e+01,8.500000000000000000e+01
9.500000000000000000e+01,8.800000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,7.300000000000000000e+01,6.500000000000000000e+01
1.160000000000000000e+02,8.700000000000000000e+01,7.100000000000000000e+01
1.340000000000000000e+02,6.800000000000000000e+01,8.400000000000000000e+01
8.600000000000000000e+01,8.400000000000000000e+01,9.500000000000000000e+01
9.500000000000000000e+01,8.300000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,7.200000000000000000e+01,8.500000000000000000e+01
1.190000000000000000e+02,8.100000000000000000e+01,8.100000000000000000e+01
1.340000000000000000e+02,8.700000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,6.800000000000000000e+01,7.000000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,6.900000000000000000e+01
7.900000000000000000e+01,8.800000000000000000e+01,2.500000000000000000e+02
1.340000000000000000e+02,6.800000000000000000e+01,6.800000000000000000e+01
9.500000000000000000e+01,7.500000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,8.200000000000000000e+01,8.300000000000000000e+01
9.200000000000000000e+01,6.600000000000000000e+01,8.900000000000000000e+01
9.200000000000000000e+01,7.700000000000000000e+01,8.900000000000000000e+01
1.190000000000000000e+02,8.200000000000000000e+01,8.100000000000000000e+01
9.200000000000000000e+01,9.000000000000000000e+01,8.900000000000000000e+01
8.900000000000000000e+01,9.200000000000000000e+01,9.100000000000000000e+01
1.340000000000000000e+02,7.700000000000000000e+01,8.700000000000000000e+01
1.340000000000000000e+02,7.000000000000000000e+01,6.600000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,8.400000000000000000e+01
8.900000000000000000e+01,7.100000000000000000e+01,9.100000000000000000e+01
1.340000000000000000e+02,7.100000000000000000e+01,6.600000000000000000e+01
1.190000000000000000e+02,8.300000000000000000e+01,8.100000000000000000e+01
1.340000000000000000e+02,7.400000000000000000e+01,8.700000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,6.400000000000000000e+01
1.190000000000000000e+02,8.200000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,8.300000000000000000e+01,8.200000000000000000e+01
9.500000000000000000e+01,8.300000000000000000e+01,8.600000000000000000e+01
1.160000000000000000e+02,8.300000000000000000e+01,7.100000000000000000e+01
1.340000000000000000e+02,6.900000000000000000e+01,8.300000000000000000e+01
1.340000000000000000e+02,8.500000000000000000e+01,8.300000000000000000e+01
8.000000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
1.190000000000000000e+02,7.300000000000000000e+01,7.100000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,8.000000000000000000e+01,6.900000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,6.900000000000000000e+01
8.600000000000000000e+01,8.200000000000000000e+01,9.500000000000000000e+01
1.340000000000000000e+02,7.400000000000000000e+01,6.500000000000000000e+01
9.500000000000000000e+01,6.900000000000000000e+01,8.600000000000000000e+01
8.100000000000000000e+01,6.500000000000000000e+01,1.740000000000000000e+02
8.600000000000000000e+01,8.300000000000000000e+01,9.500000000000000000e+01
8.900000000000000000e+01,7.700000000000000000e+01,9.100000000000000000e+01
1.340000000000000000e+02,8.500000000000000000e+01,6.900000000000000000e+01
1.340000000000000000e+02,8.400000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,6.900000000000000000e+01
3.600000000000000000e+01,1.300000000000000000e+01,4.410000000000000000e+02
1.340000000000000000e+02,8.100000000000000000e+01,8.700000000000000000e+01
8.600000000000000000e+01,6.900000000000000000e+01,9.500000000000000000e+01
1.340000000000000000e+02,8.300000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,8.200000000000000000e+01,8.600000000000000000e+01
7.900000000000000000e+01,8.100000000000000000e+01,4.040000000000000000e+02
1.340000000000000000e+02,7.900000000000000000e+01,8.300000000000000000e+01
1.340000000000000000e+02,7.700000000000000000e+01,6.900000000000000000e+01
1.340000000000000000e+02,7.400000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,7.600000000000000000e+01,6.600000000000000000e+01
9.500000000000000000e+01,7.100000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,8.100000000000000000e+01,6.900000000000000000e+01
9.600000000000000000e+01,8.500000000000000000e+01,8.600000000000000000e+01
9.300000000000000000e+01,8.000000000000000000e+01,8.900000000000000000e+01
9.600000000000000000e+01,7.500000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,8.000000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,6.300000000000000000e+01
7.800000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,8.000000000000000000e+01,6.400000000000000000e+01
9.700000000000000000e+01,8.300000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,8.100000000000000000e+01,8.600000000000000000e+01
9.800000000000000000e+01,8.500000000000000000e+01,8.500000000000000000e+01
9.600000000000000000e+01,8.400000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,8.600000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,7.600000000000000000e+01,8.200000000000000000e+01
9.100000000000000000e+01,7.000000000000000000e+01,8.900000000000000000e+01
1.340000000000000000e+02,8.300000000000000000e+01,6.900000000000000000e+01
1.340000000000000000e+02,7.400000000000000000e+01,6.500000000000000000e+01
1.340000000000000000e+02,7.100000000000000000e+01,6.500000000000000000e+01
1.340000000000000000e+02,8.100000000000000000e+01,8.700000000000000000e+01
1.190000000000000000e+02,7.200000000000000000e+01,7.000000000000000000e+01
1.270000000000000000e+02,8.300000000000000000e+01,7.000000000000000000e+01
9.200000000000000000e+01,8.200000000000000000e+01,8.900000000000000000e+01
1.340000000000000000e+02,6.900000000000000000e+01,6.900000000000000000e+01
9.000000000000000000e+01,8.300000000000000000e+01,9.000000000000000000e+01
8.600000000000000000e+01,6.400000000000000000e+01,9.500000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,6.900000000000000000e+01
9.500000000000000000e+01,7.400000000000000000e+01,8.600000000000000000e+01
8.900000000000000000e+01,6.800000000000000000e+01,9.100000000000000000e+01
1.340000000000000000e+02,7.700000000000000000e+01,6.400000000000000000e+01
1.340000000000000000e+02,7.200000000000000000e+01,6.500000000000000000e+01
7.800000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,8.000000000000000000e+01,6.700000000000000000e+01
8.000000000000000000e+01,8.800000000000000000e+01,2.690000000000000000e+02
1.190000000000000000e+02,7.100000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,8.700000000000000000e+01,6.800000000000000000e+01
1.340000000000000000e+02,8.100000000000000000e+01,8.500000000000000000e+01
9.800000000000000000e+01,8.600000000000000000e+01,8.500000000000000000e+01
8.900000000000000000e+01,8.300000000000000000e+01,9.100000000000000000e+01
1.340000000000000000e+02,7.000000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,8.600000000000000000e+01,6.800000000000000000e+01
7.200000000000000000e+01,1.020000000000000000e+02,4.830000000000000000e+02
1.340000000000000000e+02,8.000000000000000000e+01,6.400000000000000000e+01
1.340000000000000000e+02,8.800000000000000000e+01,6.800000000000000000e+01
1.340000000000000000e+02,7.200000000000000000e+01,8.300000000000000000e+01
9.500000000000000000e+01,8.500000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,8.200000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,8.400000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,8.100000000000000000e+01,8.300000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,8.300000000000000000e+01
1.340000000000000000e+02,7.500000000000000000e+01,8.200000000000000000e+01
9.200000000000000000e+01,9.100000000000000000e+01,8.900000000000000000e+01
1.340000000000000000e+02,8.400000000000000000e+01,6.800000000000000000e+01
9.200000000000000000e+01,8.100000000000000000e+01,8.900000000000000000e+01
8.100000000000000000e+01,6.600000000000000000e+01,1.910000000000000000e+02
1.340000000000000000e+02,7.300000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,8.100000000000000000e+01,6.600000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,6.300000000000000000e+01
1.190000000000000000e+02,6.900000000000000000e+01,8.200000000000000000e+01
1.190000000000000000e+02,6.600000000000000000e+01,8.100000000000000000e+01
1.340000000000000000e+02,7.000000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,7.100000000000000000e+01,8.500000000000000000e+01
9.300000000000000000e+01,6.700000000000000000e+01,8.800000000000000000e+01
1.190000000000000000e+02,7.400000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,8.600000000000000000e+01,8.200000000000000000e+01
9.300000000000000000e+01,7.900000000000000000e+01,8.800000000000000000e+01
8.600000000000000000e+01,7.700000000000000000e+01,9.500000000000000000e+01
1.340000000000000000e+02,7.400000000000000000e+01,8.500000000000000000e+01
1.190000000000000000e+02,7.300000000000000000e+01,8.100000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,8.100000000000000000e+01,8.400000000000000000e+01
8.600000000000000000e+01,8.000000000000000000e+01,9.500000000000000000e+01
1.190000000000000000e+02,8.000000000000000000e+01,7.100000000000000000e+01
1.340000000000000000e+02,7.200000000000000000e+01,7.000000000000000000e+01
8.000000000000000000e+01,8.800000000000000000e+01,2.500000000000000000e+02
8.900000000000000000e+01,7.600000000000000000e+01,9.100000000000000000e+01
1.340000000000000000e+02,8.600000000000000000e+01,6.600000000000000000e+01
8.000000000000000000e+01,6.600000000000000000e+01,1.820000000000000000e+02
1.340000000000000000e+02,8.300000000000000000e+01,6.500000000000000000e+01
1.270000000000000000e+02,7.000000000000000000e+01,8.200000000000000000e+01
7.900000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.900000000000000000e+01,6.900000000000000000e+01
8.200000000000000000e+01,6.600000000000000000e+01,2.570000000000000000e+02
1.190000000000000000e+02,7.000000000000000000e+01,8.100000000000000000e+01
9.500000000000000000e+01,7.200000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,7.500000000000000000e+01,8.300000000000000000e+01
1.340000000000000000e+02,7.100000000000000000e+01,8.400000000000000000e+01
1.340000000000000000e+02,7.500000000000000000e+01,8.600000000000000000e+01
1.190000000000000000e+02,6.700000000000000000e+01,7.100000000000000000e+01
1.340000000000000000e+02,8.400000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,8.400000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,8.600000000000000000e+01
1.270000000000000000e+02,8.700000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,7.100000000000000000e+01,6.900000000000000000e+01
1.340000000000000000e+02,8.000000000000000000e+01,8.800000000000000000e+01
1.340000000000000000e+02,8.300000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,8.200000000000000000e+01,6.500000000000000000e+01
1.340000000000000000e+02,7.700000000000000000e+01,8.800000000000000000e+01
1.190000000000000000e+02,8.700000000000000000e+01,8.200000000000000000e+01
1.190000000000000000e+02,7.400000000000000000e+01,7.000000000000000000e+01
8.900000000000000000e+01,6.800000000000000000e+01,9.100000000000000000e+01
8.000000000000000000e+01,8.900000000000000000e+01,2.730000000000000000e+02
1.340000000000000000e+02,7.300000000000000000e+01,8.500000000000000000e+01
9.400000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
9.200000000000000000e+01,6.900000000000000000e+01,8.900000000000000000e+01
7.900000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.200000000000000000e+01,8.400000000000000000e+01
1.340000000000000000e+02,7.700000000000000000e+01,6.600000000000000000e+01
8.100000000000000000e+01,6.400000000000000000e+01,1.740000000000000000e+02
8.000000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,8.400000000000000000e+01,6.900000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,6.400000000000000000e+01
8.100000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.400000000000000000e+01,6.500000000000000000e+01
1.340000000000000000e+02,7.200000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,7.500000000000000000e+01,8.700000000000000000e+01
1.340000000000000000e+02,7.500000000000000000e+01,6.500000000000000000e+01
8.900000000000000000e+01,6.600000000000000000e+01,9.100000000000000000e+01
1.190000000000000000e+02,8.800000000000000000e+01,8.100000000000000000e+01
1.190000000000000000e+02,6.700000000000000000e+01,7.000000000000000000e+01
9.500000000000000000e+01,7.300000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,7.400000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,8.500000000000000000e+01,7.000000000000000000e+01
1.340000000000000000e+02,7.200000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,6.400000000000000000e+01
1.190000000000000000e+02,7.700000000000000000e+01,8.100000000000000000e+01
8.100000000000000000e+01,8.700000000000000000e+01,2.540000000000000000e+02
1.340000000000000000e+02,7.100000000000000000e+01,6.400000000000000000e+01
8.000000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
9.700000000000000000e+01,6.800000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,7.400000000000000000e+01,7.000000000000000000e+01
8.000000000000000000e+01,8.100000000000000000e+01,4.060000000000000000e+02
8.000000000000000000e+01,8.100000000000000000e+01,4.040000000000000000e+02
9.800000000000000000e+01,8.100000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,8.000000000000000000e+01,6.700000000000000000e+01
7.900000000000000000e+01,8.800000000000000000e+01,1.740000000000000000e+02
1.340000000000000000e+02,7.200000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,8.600000000000000000e+01,7.000000000000000000e+01
1.340000000000000000e+02,8.600000000000000000e+01,8.300000000000000000e+01
1.340000000000000000e+02,8.700000000000000000e+01,8.300000000000000000e+01
1.190000000000000000e+02,8.100000000000000000e+01,8.200000000000000000e+01
9.800000000000000000e+01,8.800000000000000000e+01,8.500000000000000000e+01
9.300000000000000000e+01,8.400000000000000000e+01,8.800000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,6.500000000000000000e+01
1.340000000000000000e+02,8.400000000000000000e+01,6.800000000000000000e+01
9.700000000000000000e+01,9.000000000000000000e+01,8.500000000000000000e+01
7.700000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,6.900000000000000000e+01,6.900000000000000000e+01
1.190000000000000000e+02,8.600000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,7.600000000000000000e+01,8.200000000000000000e+01
8.900000000000000000e+01,6.700000000000000000e+01,9.100000000000000000e+01
1.340000000000000000e+02,7.100000000000000000e+01,6.600000000000000000e+01
1.190000000000000000e+02,8.500000000000000000e+01,7.000000000000000000e+01
1.340000000000000000e+02,7.600000000000000000e+01,8.400000000000000000e+01
1.340000000000000000e+02,7.400000000000000000e+01,8.200000000000000000e+01
1.340000000000000000e+02,7.100000000000000000e+01,6.600000000000000000e+01
1.150000000000000000e+02,8.600000000000000000e+01,7.100000000000000000e+01
8.000000000000000000e+01,6.500000000000000000e+01,1.740000000000000000e+02
9.200000000000000000e+01,8.800000000000000000e+01,8.900000000000000000e+01
1.340000000000000000e+02,8.600000000000000000e+01,8.300000000000000000e+01
1.340000000000000000e+02,7.700000000000000000e+01,6.900000000000000000e+01
1.340000000000000000e+02,8.000000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,8.400000000000000000e+01,8.700000000000000000e+01
8.900000000000000000e+01,8.600000000000000000e+01,9.100000000000000000e+01
1.340000000000000000e+02,7.600000000000000000e+01,6.500000000000000000e+01
8.000000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
8.600000000000000000e+01,8.600000000000000000e+01,9.500000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,6.300000000000000000e+01
8.900000000000000000e+01,8.300000000000000000e+01,9.100000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,6.800000000000000000e+01
1.190000000000000000e+02,8.800000000000000000e+01,7.000000000000000000e+01
1.340000000000000000e+02,8.500000000000000000e+01,6.900000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,8.200000000000000000e+01,8.400000000000000000e+01
1.340000000000000000e+02,7.300000000000000000e+01,8.400000000000000000e+01
8.600000000000000000e+01,7.100000000000000000e+01,9.500000000000000000e+01
1.190000000000000000e+02,8.800000000000000000e+01,8.200000000000000000e+01
7.900000000000000000e+01,8.100000000000000000e+01,4.060000000000000000e+02
1.340000000000000000e+02,8.000000000000000000e+01,6.500000000000000000e+01
1.340000000000000000e+02,7.500000000000000000e+01,8.700000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,8.700000000000000000e+01
1.340000000000000000e+02,7.600000000000000000e+01,6.700000000000000000e+01
1.340000000000000000e+02,8.000000000000000000e+01,6.500000000000000000e+01
9.400000000000000000e+01,9.000000000000000000e+01,8.700000000000000000e+01
8.000000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
9.600000000000000000e+01,6.800000000000000000e+01,8.600000000000000000e+01
7.100000000000000000e+01,1.030000000000000000e+02,4.830000000000000000e+02
1.340000000000000000e+02,8.600000000000000000e+01,6.900000000000000000e+01
1.340000000000000000e+02,8.600000000000000000e+01,6.700000000000000000e+01
1.270000000000000000e+02,8.200000000000000000e+01,7.000000000000000000e+01
1.160000000000000000e+02,8.600000000000000000e+01,7.100000000000000000e+01
1.340000000000000000e+02,7.000000000000000000e+01,6.500000000000000000e+01
9.500000000000000000e+01,7.100000000000000000e+01,8.600000000000000000e+01
1.340000000000000000e+02,7.300000000000000000e+01,8.300000000000000000e+01
1.340000000000000000e+02,7.300000000000000000e+01,6.500000000000000000e+01
8.000000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
1.190000000000000000e+02,7.400000000000000000e+01,7.000000000000000000e+01
9.500000000000000000e+01,8.500000000000000000e+01,8.600000000000000000e+01
8.000000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.700000000000000000e+01,6.900000000000000000e+01
1.190000000000000000e+02,8.100000000000000000e+01,8.100000000000000000e+01
8.600000000000000000e+01,8.800000000000000000e+01,9.500000000000000000e+01
1.340000000000000000e+02,7.500000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,6.700000000000000000e+01
9.100000000000000000e+01,7.700000000000000000e+01,8.900000000000000000e+01
9.100000000000000000e+01,7.900000000000000000e+01,8.900000000000000000e+01
1.340000000000000000e+02,8.300000000000000000e+01,6.400000000000000000e+01
1.340000000000000000e+02,8.400000000000000000e+01,7.000000000000000000e+01
1.340000000000000000e+02,7.600000000000000000e+01,6.400000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,8.600000000000000000e+01
8.900000000000000000e+01,9.100000000000000000e+01,9.100000000000000000e+01
9.500000000000000000e+01,8.300000000000000000e+01,8.600000000000000000e+01
7.900000000000000000e+01,8.200000000000000000e+01,4.050000000000000000e+02
1.340000000000000000e+02,8.600000000000000000e+01,6.500000000000000000e+01
9.100000000000000000e+01,6.600000000000000000e+01,8.900000000000000000e+01
1.190000000000000000e+02,7.000000000000000000e+01,7.000000000000000000e+01
1.190000000000000000e+02,7.200000000000000000e+01,8.200000000000000000e+01
9.000000000000000000e+01,6.400000000000000000e+01,9.000000000000000000e+01
7.900000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.100000000000000000e+01,8.500000000000000000e+01
1.340000000000000000e+02,7.900000000000000000e+01,6.500000000000000000e+01
9.000000000000000000e+01,8.200000000000000000e+01,9.000000000000000000e+01
1.020000000000000000e+02,7.000000000000000000e+01,8.300000000000000000e+01
1.340000000000000000e+02,7.200000000000000000e+01,8.400000000000000000e+01
8.100000000000000000e+01,8.700000000000000000e+01,2.370000000000000000e+02
